DateTime,Akaroa at main beach,Caroline Bay - mid beach,Cass Bay at boat ramp,Charteris Bay Paradise Beach,Church Bay Beach,Corsair Bay Beach,Diamond Harbour Beach,Duvauchelle Bay by camping ground,French Farm Bay,Glen Bay boat ramp,Governors Bay Sandy Beach,Purau Bay Beach,Rapaki Bay Beach,Scarborough Beach by clock tower,Sumner Beach Surf club,Takamatua Bay Boat ramp,Taylors Mistake Beach Surf club,Tikao Bay mid beach,Timaru Coast Caroline Bay at Virtue Avenue,Timaru Coast at yacht club jetty,Wainui Beach Wainui Beach
2013-11-12 10:00:00,10.714285714285714,10.714285714285714,5.0,10.714285714285714,10.0,5.0,30.0,10.714285714285714,10.714285714285714,10.714285714285714,5.0,10.0,10.0,10.714285714285714,10.714285714285714,10.714285714285714,10.714285714285714,10.714285714285714,10.714285714285714,10.714285714285714,10.714285714285714
2013-11-12 12:00:00,10.714285714285714,10.714285714285714,5.0,10.714285714285714,10.0,5.0,30.0,10.714285714285714,10.714285714285714,10.714285714285714,5.0,10.0,10.0,10.714285714285714,10.714285714285714,10.714285714285714,10.714285714285714,10.714285714285714,10.714285714285714,10.714285714285714,10.714285714285714
2013-11-13 11:00:00,5.0,7.142857142857143,7.142857142857143,7.142857142857143,7.142857142857143,7.142857142857143,7.142857142857143,5.0,5.0,5.0,7.142857142857143,7.142857142857143,7.142857142857143,7.142857142857143,7.142857142857143,20.0,7.142857142857143,5.0,7.142857142857143,7.142857142857143,5.0
2013-11-13 13:00:00,5.0,7.142857142857143,7.142857142857143,7.142857142857143,7.142857142857143,7.142857142857143,7.142857142857143,5.0,5.0,5.0,7.142857142857143,7.142857142857143,7.142857142857143,7.142857142857143,7.142857142857143,20.0,7.142857142857143,5.0,7.142857142857143,7.142857142857143,5.0
2013-11-21 08:00:00,6.666666666666667,5.0,6.666666666666667,6.666666666666667,6.666666666666667,6.666666666666667,6.666666666666667,6.666666666666667,6.666666666666667,6.666666666666667,6.666666666666667,6.666666666666667,6.666666666666667,6.666666666666667,6.666666666666667,6.666666666666667,6.666666666666667,6.666666666666667,5.0,10.0,6.666666666666667
2013-11-22 09:00:00,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,20.0,10.0,5.0,10.0,10.0,10.0,10.0
2013-11-25 09:00:00,12.0,12.0,10.0,20.0,5.0,5.0,10.0,12.0,12.0,12.0,5.0,10.0,31.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
2013-11-25 10:00:00,12.0,12.0,10.0,20.0,5.0,5.0,10.0,12.0,12.0,12.0,5.0,10.0,31.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
2013-11-25 11:00:00,12.0,12.0,10.0,20.0,5.0,5.0,10.0,12.0,12.0,12.0,5.0,10.0,31.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
2013-11-25 12:00:00,12.0,12.0,10.0,20.0,5.0,5.0,10.0,12.0,12.0,12.0,5.0,10.0,31.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
2013-11-26 09:00:00,10.0,21.0,21.0,21.0,21.0,21.0,21.0,41.0,10.0,20.0,21.0,21.0,21.0,21.0,21.0,41.0,21.0,5.0,21.0,21.0,20.0
2013-11-26 11:00:00,10.0,21.0,21.0,21.0,21.0,21.0,21.0,41.0,10.0,20.0,21.0,21.0,21.0,21.0,21.0,41.0,21.0,5.0,21.0,21.0,20.0
2013-11-26 12:00:00,10.0,21.0,21.0,21.0,21.0,21.0,21.0,41.0,10.0,20.0,21.0,21.0,21.0,21.0,21.0,41.0,21.0,5.0,21.0,21.0,20.0
2013-11-27 08:00:00,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,10.0,10.0,10.0,10.0,20.0,5.0,10.0
2013-11-27 09:00:00,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,10.0,10.0,10.0,10.0,20.0,5.0,10.0
2013-11-27 12:00:00,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,10.0,10.0,10.0,10.0,20.0,5.0,10.0
2013-11-27 13:00:00,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,10.0,10.0,10.0,10.0,20.0,5.0,10.0
2013-12-02 13:00:00,11.25,11.25,5.0,30.0,10.0,5.0,5.0,11.25,11.25,11.25,20.0,5.0,10.0,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25
2013-12-02 14:00:00,11.25,11.25,5.0,30.0,10.0,5.0,5.0,11.25,11.25,11.25,20.0,5.0,10.0,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25
2013-12-02 15:00:00,11.25,11.25,5.0,30.0,10.0,5.0,5.0,11.25,11.25,11.25,20.0,5.0,10.0,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25
2013-12-02 16:00:00,11.25,11.25,5.0,30.0,10.0,5.0,5.0,11.25,11.25,11.25,20.0,5.0,10.0,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25
2013-12-03 13:00:00,13.333333333333334,13.333333333333334,13.333333333333334,13.333333333333334,13.333333333333334,13.333333333333334,13.333333333333334,13.333333333333334,5.0,13.333333333333334,13.333333333333334,13.333333333333334,13.333333333333334,30.0,13.333333333333334,5.0,13.333333333333334,13.333333333333334,13.333333333333334,13.333333333333334,13.333333333333334
2013-12-03 14:00:00,13.333333333333334,13.333333333333334,13.333333333333334,13.333333333333334,13.333333333333334,13.333333333333334,13.333333333333334,13.333333333333334,5.0,13.333333333333334,13.333333333333334,13.333333333333334,13.333333333333334,30.0,13.333333333333334,5.0,13.333333333333334,13.333333333333334,13.333333333333334,13.333333333333334,13.333333333333334
2013-12-03 15:00:00,13.333333333333334,13.333333333333334,13.333333333333334,13.333333333333334,13.333333333333334,13.333333333333334,13.333333333333334,13.333333333333334,5.0,13.333333333333334,13.333333333333334,13.333333333333334,13.333333333333334,30.0,13.333333333333334,5.0,13.333333333333334,13.333333333333334,13.333333333333334,13.333333333333334,13.333333333333334
2013-12-04 08:00:00,10.833333333333334,5.0,10.833333333333334,10.833333333333334,10.833333333333334,10.833333333333334,10.833333333333334,10.833333333333334,10.833333333333334,10.833333333333334,10.833333333333334,10.833333333333334,10.833333333333334,10.0,30.0,10.833333333333334,10.0,10.833333333333334,5.0,5.0,10.833333333333334
2013-12-04 09:00:00,10.833333333333334,5.0,10.833333333333334,10.833333333333334,10.833333333333334,10.833333333333334,10.833333333333334,10.833333333333334,10.833333333333334,10.833333333333334,10.833333333333334,10.833333333333334,10.833333333333334,10.0,30.0,10.833333333333334,10.0,10.833333333333334,5.0,5.0,10.833333333333334
2013-12-04 10:00:00,10.833333333333334,5.0,10.833333333333334,10.833333333333334,10.833333333333334,10.833333333333334,10.833333333333334,10.833333333333334,10.833333333333334,10.833333333333334,10.833333333333334,10.833333333333334,10.833333333333334,10.0,30.0,10.833333333333334,10.0,10.833333333333334,5.0,5.0,10.833333333333334
2013-12-05 05:00:00,52.0,32.0,32.0,32.0,32.0,32.0,32.0,41.0,32.0,10.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,5.0,32.0,32.0,52.0
2013-12-05 06:00:00,52.0,32.0,32.0,32.0,32.0,32.0,32.0,41.0,32.0,10.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,5.0,32.0,32.0,52.0
2013-12-09 08:00:00,38.375,38.375,5.0,5.0,5.0,20.0,183.0,38.375,38.375,38.375,74.0,10.0,5.0,38.375,38.375,38.375,38.375,38.375,38.375,38.375,38.375
2013-12-09 09:00:00,38.375,38.375,5.0,5.0,5.0,20.0,183.0,38.375,38.375,38.375,74.0,10.0,5.0,38.375,38.375,38.375,38.375,38.375,38.375,38.375,38.375
2013-12-09 10:00:00,38.375,38.375,5.0,5.0,5.0,20.0,183.0,38.375,38.375,38.375,74.0,10.0,5.0,38.375,38.375,38.375,38.375,38.375,38.375,38.375,38.375
2013-12-09 11:00:00,38.375,38.375,5.0,5.0,5.0,20.0,183.0,38.375,38.375,38.375,74.0,10.0,5.0,38.375,38.375,38.375,38.375,38.375,38.375,38.375,38.375
2013-12-10 08:00:00,5.0,7.5,7.5,7.5,7.5,7.5,5.0,5.0,10.0,5.0,7.5,7.5,7.5,7.5,7.5,5.0,7.5,5.0,7.5,7.5,20.0
2013-12-10 09:00:00,5.0,7.5,7.5,7.5,7.5,7.5,5.0,5.0,10.0,5.0,7.5,7.5,7.5,7.5,7.5,5.0,7.5,5.0,7.5,7.5,20.0
2013-12-10 10:00:00,5.0,7.5,7.5,7.5,7.5,7.5,5.0,5.0,10.0,5.0,7.5,7.5,7.5,7.5,7.5,5.0,7.5,5.0,7.5,7.5,20.0
2013-12-10 11:00:00,5.0,7.5,7.5,7.5,7.5,7.5,5.0,5.0,10.0,5.0,7.5,7.5,7.5,7.5,7.5,5.0,7.5,5.0,7.5,7.5,20.0
2013-12-10 13:00:00,5.0,7.5,7.5,7.5,7.5,7.5,5.0,5.0,10.0,5.0,7.5,7.5,7.5,7.5,7.5,5.0,7.5,5.0,7.5,7.5,20.0
2013-12-11 08:00:00,9.166666666666666,5.0,9.166666666666666,9.166666666666666,9.166666666666666,9.166666666666666,9.166666666666666,9.166666666666666,9.166666666666666,9.166666666666666,9.166666666666666,9.166666666666666,9.166666666666666,10.0,20.0,9.166666666666666,10.0,9.166666666666666,5.0,5.0,9.166666666666666
2013-12-11 13:00:00,9.166666666666666,5.0,9.166666666666666,9.166666666666666,9.166666666666666,9.166666666666666,9.166666666666666,9.166666666666666,9.166666666666666,9.166666666666666,9.166666666666666,9.166666666666666,9.166666666666666,10.0,20.0,9.166666666666666,10.0,9.166666666666666,5.0,5.0,9.166666666666666
2013-12-11 14:00:00,9.166666666666666,5.0,9.166666666666666,9.166666666666666,9.166666666666666,9.166666666666666,9.166666666666666,9.166666666666666,9.166666666666666,9.166666666666666,9.166666666666666,9.166666666666666,9.166666666666666,10.0,20.0,9.166666666666666,10.0,9.166666666666666,5.0,5.0,9.166666666666666
2013-12-16 14:00:00,8.75,8.75,5.0,5.0,5.0,10.0,5.0,8.75,8.75,8.75,20.0,10.0,10.0,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75
2013-12-16 15:00:00,8.75,8.75,5.0,5.0,5.0,10.0,5.0,8.75,8.75,8.75,20.0,10.0,10.0,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75
2013-12-16 16:00:00,8.75,8.75,5.0,5.0,5.0,10.0,5.0,8.75,8.75,8.75,20.0,10.0,10.0,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75
2013-12-16 17:00:00,8.75,8.75,5.0,5.0,5.0,10.0,5.0,8.75,8.75,8.75,20.0,10.0,10.0,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75
2013-12-17 14:00:00,10.0,50.142857142857146,50.142857142857146,50.142857142857146,50.142857142857146,50.142857142857146,50.142857142857146,5.0,75.0,10.0,50.142857142857146,50.142857142857146,50.142857142857146,50.142857142857146,50.142857142857146,20.0,50.142857142857146,96.0,50.142857142857146,50.142857142857146,135.0
2013-12-17 15:00:00,10.0,50.142857142857146,50.142857142857146,50.142857142857146,50.142857142857146,50.142857142857146,50.142857142857146,5.0,75.0,10.0,50.142857142857146,50.142857142857146,50.142857142857146,50.142857142857146,50.142857142857146,20.0,50.142857142857146,96.0,50.142857142857146,50.142857142857146,135.0
2013-12-17 16:00:00,10.0,50.142857142857146,50.142857142857146,50.142857142857146,50.142857142857146,50.142857142857146,50.142857142857146,5.0,75.0,10.0,50.142857142857146,50.142857142857146,50.142857142857146,50.142857142857146,50.142857142857146,20.0,50.142857142857146,96.0,50.142857142857146,50.142857142857146,135.0
2013-12-18 08:00:00,51.666666666666664,10.0,51.666666666666664,51.666666666666664,51.666666666666664,51.666666666666664,51.666666666666664,51.666666666666664,51.666666666666664,51.666666666666664,51.666666666666664,51.666666666666664,51.666666666666664,275.0,5.0,51.666666666666664,5.0,51.666666666666664,5.0,10.0,51.666666666666664
2013-12-18 09:00:00,51.666666666666664,10.0,51.666666666666664,51.666666666666664,51.666666666666664,51.666666666666664,51.666666666666664,51.666666666666664,51.666666666666664,51.666666666666664,51.666666666666664,51.666666666666664,51.666666666666664,275.0,5.0,51.666666666666664,5.0,51.666666666666664,5.0,10.0,51.666666666666664
2013-12-19 15:00:00,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
2013-12-22 07:00:00,85.0,5.0,31.0,5.0,10.0,51.0,5.0,160.0,5.0,20.0,10.0,5.0,5.0,44.0,44.0,63.0,44.0,203.0,62.0,5.0,62.0
2013-12-22 08:00:00,85.0,5.0,31.0,5.0,10.0,51.0,5.0,160.0,5.0,20.0,10.0,5.0,5.0,44.0,44.0,63.0,44.0,203.0,62.0,5.0,62.0
2013-12-22 09:00:00,85.0,5.0,31.0,5.0,10.0,51.0,5.0,160.0,5.0,20.0,10.0,5.0,5.0,44.0,44.0,63.0,44.0,203.0,62.0,5.0,62.0
2013-12-22 10:00:00,85.0,5.0,31.0,5.0,10.0,51.0,5.0,160.0,5.0,20.0,10.0,5.0,5.0,44.0,44.0,63.0,44.0,203.0,62.0,5.0,62.0
